course,player,SG Category,SG Value
"Muirfield Village Golf Club - Dublin, OH",Abraham Ancer,OTT,0.86
"Muirfield Village Golf Club - Dublin, OH",Adam Hadwin,OTT,0.18
"Muirfield Village Golf Club - Dublin, OH",Aaron Rai,OTT,-0.12
"Muirfield Village Golf Club - Dublin, OH",Adam Schenk,OTT,0.48
"Muirfield Village Golf Club - Dublin, OH",Adam Scott,OTT,-1.04
"Muirfield Village Golf Club - Dublin, OH",Adam Svensson,OTT,0.26
"Muirfield Village Golf Club - Dublin, OH",Aaron Wise,OTT,0.18
"Muirfield Village Golf Club - Dublin, OH",Brian Harman,OTT,0.65
"Muirfield Village Golf Club - Dublin, OH",Billy Horschel,OTT,0.84
"Muirfield Village Golf Club - Dublin, OH",Beau Hossler,OTT,-0.03
"Muirfield Village Golf Club - Dublin, OH",Brandt Snedeker,OTT,-0.92
"Muirfield Village Golf Club - Dublin, OH",Brendan Steele,OTT,0.86
"Muirfield Village Golf Club - Dublin, OH",Brandon Wu,OTT,0.12
"Muirfield Village Golf Club - Dublin, OH",Corey Conners,OTT,0.53
"Muirfield Village Golf Club - Dublin, OH",Cameron Davis,OTT,-0.6
"Muirfield Village Golf Club - Dublin, OH",Charles Howell III,OTT,0.4
"Muirfield Village Golf Club - Dublin, OH",Chan Kim,OTT,0.19
"Muirfield Village Golf Club - Dublin, OH",Chris Kirk,OTT,0.45
"Muirfield Village Golf Club - Dublin, OH",Carlos Ortiz,OTT,-0.55
"Muirfield Village Golf Club - Dublin, OH",C.T. Pan,OTT,-1.05
"Muirfield Village Golf Club - Dublin, OH",Cameron Smith,OTT,-0.49
"Muirfield Village Golf Club - Dublin, OH",Cameron Tringale,OTT,0.59
"Muirfield Village Golf Club - Dublin, OH",Camilo Villegas,OTT,-0.22
"Muirfield Village Golf Club - Dublin, OH",Cameron Young,OTT,0.89
"Muirfield Village Golf Club - Dublin, OH",Daniel Berger,OTT,0.1
"Muirfield Village Golf Club - Dublin, OH",Doug Ghim,OTT,0.71
"Muirfield Village Golf Club - Dublin, OH",David Lingmerth,OTT,-0.24
"Muirfield Village Golf Club - Dublin, OH",David Lipsky,OTT,-0.43
"Muirfield Village Golf Club - Dublin, OH",Denny McCarthy,OTT,-0.71
"Muirfield Village Golf Club - Dublin, OH",Davis Riley,OTT,-0.29
"Muirfield Village Golf Club - Dublin, OH",Emiliano Grillo,OTT,1.28
